airport_id,city,state,name
10165,Adak Island,AK,Adak
10299,Anchorage,AK,Ted Stevens Anchorage International
10304,Aniak,AK,Aniak Airport
10754,Barrow,AK,Wiley Post/Will Rogers Memorial
10551,Bethel,AK,Bethel Airport
10926,Cordova,AK,Merle K Mudhole Smith
14709,Deadhorse,AK,Deadhorse Airport
11336,Dillingham,AK,Dillingham Airport
11630,Fairbanks,AK,Fairbanks International
11997,Gustavus,AK,Gustavus Airport
12523,Juneau,AK,Juneau International
12819,Ketchikan,AK,Ketchikan International
10245,King Salmon,AK,King Salmon Airport
10170,Kodiak,AK,Kodiak Airport
13970,Kotzebue,AK,Ralph Wien Memorial
13873,Nome,AK,Nome Airport
14256,Petersburg,AK,Petersburg James A Johnson
14828,Sitka,AK,Sitka Rocky Gutierrez
12807,St. Mary's,AK,St. Mary's Airport
11445,Unalaska,AK,Unalaska Airport
15841,Wrangell,AK,Wrangell Airport
15991,Yakutat,AK,Yakutat Airport
10599,Birmingham,AL,Birmingham-Shuttlesworth International
11308,Dothan,AL,Dothan Regional
12217,Huntsville,AL,Huntsville International-Carl T Jones Field
13422,Mobile,AL,Mobile Regional
13277,Montgomery,AL,Montgomery Regional
15919,Fayetteville,AR,Northwest Arkansas Regional
11778,Fort Smith,AR,Fort Smith Regional
12992,Little Rock,AR,Adams Field
15401,Texarkana,AR,Texarkana Regional-Webb Field
11695,Flagstaff,AZ,Flagstaff Pulliam
11869,Grand Canyon,AZ,Grand Canyon National Park
14107,Phoenix,AZ,Phoenix Sky Harbor International
15376,Tucson,AZ,Tucson International
16218,Yuma,AZ,Yuma MCAS/Yuma International
10157,Arcata/Eureka,CA,Arcata
10561,Bakersfield,CA,Meadows Field
10800,Burbank,CA,Bob Hope
11041,Carlsbad,CA,McClellan-Palomar
11002,Chico,CA,Chico Municipal
10910,Concord,CA,Buchanan Field
10930,Crescent City,CA,Jack McNamara Field
12363,El Centro,CA,Imperial County
11638,Fresno,CA,Fresno Yosemite International
12436,Inyokern,CA,Inyokern Airport
15383,Lake Tahoe,CA,Lake Tahoe Airport
12954,Long Beach,CA,Long Beach Airport
12892,Los Angeles,CA,Los Angeles International
13388,Mammoth Lakes,CA,Mammoth Lakes Airport
13424,Modesto,CA,Modesto City-County-Harry Sham Field
13476,Monterey,CA,Monterey Peninsula
13796,Oakland,CA,Metropolitan Oakland International
13891,Ontario,CA,Ontario International
13988,Oxnard/Ventura,CA,Oxnard
14262,Palm Springs,CA,Palm Springs International
14162,Palmdale,CA,Palmdale USAF Plant 42
14487,Redding,CA,Redding Municipal
14893,Sacramento,CA,Sacramento International
14679,San Diego,CA,San Diego International
14771,San Francisco,CA,San Francisco International
14831,San Jose,CA,Norman Y. Mineta San Jose International
