Name,Definition,Status,Related Terms,Synonyms,Acronym,Experts,Stewards,Resources
Payments,Contoso Corporation Retail industry sub segment involving Activities Related to Credit Intermediation; and Non-depository Credit Intermediation.,Approved,,,58,,,
Specialty Finance,Contoso Corporation Retail industry sub segment involving Activities Related to Credit Intermediation; and Non-depository Credit Intermediation,Approved,,,58,,,
New and Used Vehicle Dealers,Contoso Corporation Retail industry sub segment involving Automotive Equipment Rental and Leasing; Automotive Repair and Maintenance; Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers; New Car Dealers; and Used Car Dealers.,Approved,,,63,,,
Restructuring Advisory Services,"Delivery Unit (DU) under Advisory Services (AS) which focuses on services designed to support a type of corporate action taken when significantly modifying the debt, operations or structure of a company as a means of potentially eliminating financial harm and improving the business.",Approved,,,5,,,
finance zzshaka kpi1,,Approved,,,FINKPI1,,,
Market Development and Sales (MDS) ,Internal facing Business Unit (BU) in Contoso Corporation Retail.  MDS supports Contoso Corporation Retail in achieving its growth objectives by developing and executing national and international programs to build brand awareness for Contoso Corporation Retail; promoting Contoso Corporation Retail's thought leadership and positioning its experts in the markets it serves in both marketing and media channels; implementing lead management programs through integrated marketing and communications; and enabling revenue generation through multiple sales channels. MDS is also responsible for new product development and the Firm?s Client Experience initiative.,Approved,,,54,,,
Public Sector,"Public Sector delivers services and solutions to government, not-for-profit and higher-education organizations. ",Approved,,,55,,,
Talent Solutions (TS),"Internal facing Business Unit (BU) in Contoso Corporation Retail focused on BU/SDU Wide work, Communications, Human Resource Services, Recruiting, and Talent Development.",Approved,,,54,,,
General Construction,"Contoso Corporation Retail industry sub segment involving Building Finishing Contractors; Electrical Contractors and Other Wiring Installation Contractors; Foundation, Structure, and Building Exterior Contractors; Nonresidential Building Construction; Other Building Equipment Contractors ; Other Specialty Trade Contractors; Plumbing, Heating, and Air-Conditioning Contractors; Remediation and Other Waste Management Services; Services to Buildings and Dwellings.",Approved,,,56,,,
IDS,Need details - IDS,Approved,,,10,,,
Midwest,"Delivery Unit (DU) under the Tax Business Unit which focuses on regional territory in the US comprising Michigan, Ohio, Indiana, Illinois, Wisconsin, Minnesota, and Iowa.",Approved,,,4,,,
Structured Content,"Structured content is the data that is organized and stored in databases in formats easily used by querying tools or other technology. It is highly-organized and easy to digest, making analytics possible through the use of legacy data mining solutions. Being database driven, it is easier to manage it through the business applications.

Examples: Data from transactional systems ? Elite, CRM, DataHub, SAP, etc.",Approved,,,,,,
Forensic Services,Delivery Unit (DU) under Advisory Services (AS).  Technical services used for legal proceedings (such as Forensic Accounting),Approved,,,5,,,
Global Services (GS) ,"Internal facing Business Unit (BU) in Contoso Corporation Retail.  Global Services (GS)ÿexecutes strategies to create an exceptional client experience, greater synergy and high quality support to our people across the firm through a connected group of individuals who are deeply specialized in the areas of office operations, business support, project services, production, real estate, travel and tax processing; aligned geographically or globally.",Approved,,,54,,,
Transaction Services,Delivery Unit (DU) under Advisory Services (AS).  Third party services provided by a professional services firm (such as the Big 4) or an investment bank when a business transaction takes place. An example of a business transaction would be the Merger or Acquisition of a company. The service most frequently offered is due diligence.,Approved,,,5,,,
High Tech,Contoso Corporation Retail industry sub segment involving manufacturing of All Other Miscellaneous Electrical Equipment and Component Manufacturing; Audio and Video Equipment Manufacturing; Communications Equipment Manufacturing; Computer and Peripheral Equipment Manufacturing; Electrical Equipment Manufacturing; Other Electrical Equipment and Component Manufacturing; and Semiconductor and Other Electronic Component Manufacturing.,Approved,,,60,,,
Government,Delivery Unit (DU) under the Performance Business Unit focused on Government clients.,Approved,,,2,,,
IT Advisory,Delivery Unit (DU) under Advisory Services (AS).  Advisory services in an IT capacity,Approved,,,5,,,
Tax ,Delivery Unit (DU) under Applied Technology focused on tax services.,Approved,,,11,,,
Reference Data,"Reference data is any kind of data that is used to categorize other data found in a database, or for relating data in a database to information beyond the boundaries of the enterprise. It is the set of permissible values to be used by other (master or transaction) data fields. ",Approved,,,,,,
Master Data,"Master data refers to data units that are non-transactional, top level and relational business entities or elements that are joinable in observable ways. An organization may use master data on more than one platform or across a variety of software programs or technologies. A clear description of master data includes customer data items, like IDs. This data type is considered master data, versus quantitative data related to a single transaction, customer ID or other data (such as addresses and phone numbers), which are continuously used by a business to analyze customer behavior, establish contacts or drive high-level research. ",Approved,,,,,,
Business Unit (BU),"Contoso Corporation Retail's organizational structure includes five external-facing and four internal-facing business units (BUs). This organizational structure supports the North American expansion strategy, a plan that is designed to help make Contoso Corporation Retail a national firm by focusing on both the firm's industry channels and its functional capabilities. This structure was designed to allow the firm to more effectively acquire and serve clients by providing the appropriate level of industry and functional expertise.",Approved,,,,,,
