User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
14733363,male,68,190.0,94.0,29.0,105.0,40.8
14861698,female,20,166.0,60.0,14.0,94.0,40.3
11179863,male,69,179.0,79.0,5.0,88.0,38.7
16180408,female,34,179.0,71.0,13.0,100.0,40.5
17771927,female,27,154.0,58.0,10.0,81.0,39.8
15130815,female,36,151.0,50.0,23.0,96.0,40.7
19602372,female,33,158.0,56.0,22.0,95.0,40.5
11117088,male,41,175.0,85.0,25.0,100.0,40.7
12132339,male,60,186.0,94.0,21.0,97.0,40.4
17964668,female,26,146.0,51.0,16.0,90.0,40.2
13723164,female,36,177.0,76.0,1.0,74.0,37.8
13681290,female,21,157.0,56.0,17.0,100.0,40.0
15566424,male,66,171.0,79.0,11.0,90.0,40.0
12891699,female,32,157.0,54.0,18.0,93.0,40.4
13823829,male,53,182.0,85.0,2.0,82.0,38.1
17557348,female,39,156.0,62.0,28.0,104.0,40.8
12198133,male,39,182.0,82.0,4.0,82.0,38.6
15236104,male,46,169.0,67.0,11.0,89.0,40.2
11042324,female,27,171.0,65.0,4.0,85.0,38.6
16864285,male,50,188.0,86.0,14.0,94.0,40.2
11674347,male,67,189.0,93.0,8.0,77.0,39.2
19797300,female,31,148.0,50.0,8.0,84.0,39.5
14711095,female,33,157.0,60.0,3.0,80.0,38.7
14434854,female,20,165.0,59.0,29.0,100.0,41.0
14893804,male,48,182.0,85.0,1.0,80.0,37.7
17231597,male,29,176.0,75.0,10.0,83.0,39.7
10901446,male,33,173.0,73.0,7.0,78.0,39.3
15874362,male,42,190.0,88.0,3.0,83.0,38.9
15569252,female,62,159.0,59.0,29.0,106.0,41.2
15615743,male,38,171.0,75.0,2.0,81.0,38.2
13363046,male,20,183.0,88.0,16.0,97.0,40.5
17572853,female,25,160.0,59.0,24.0,102.0,40.3
17157339,female,24,165.0,59.0,18.0,91.0,40.2
18328111,female,42,165.0,68.0,22.0,93.0,40.8
19303479,male,22,182.0,84.0,29.0,114.0,41.0
10699201,female,74,158.0,59.0,10.0,93.0,39.6
15283313,female,70,154.0,59.0,10.0,88.0,40.0
16324247,female,26,182.0,80.0,21.0,96.0,40.5
14277710,male,44,184.0,86.0,25.0,114.0,40.8
10888188,male,61,183.0,86.0,1.0,81.0,38.3
13379795,female,68,157.0,57.0,13.0,92.0,40.1
17181524,female,61,176.0,70.0,20.0,104.0,40.5
15988442,male,63,179.0,80.0,25.0,108.0,40.8
19538533,female,54,171.0,66.0,20.0,98.0,40.1
14591877,female,54,169.0,66.0,3.0,80.0,38.9
14274480,female,47,155.0,55.0,16.0,93.0,40.5
16818429,male,33,184.0,86.0,8.0,86.0,39.9
17476522,female,24,171.0,66.0,24.0,105.0,40.6
16369885,male,24,195.0,98.0,20.0,96.0,40.6
17816292,male,48,152.0,59.0,2.0,79.0,38.0
15995398,male,35,193.0,93.0,10.0,83.0,39.7
17615432,male,21,168.0,71.0,3.0,78.0,38.5
10146087,female,21,179.0,73.0,9.0,90.0,39.6
17967445,female,22,158.0,62.0,25.0,105.0,40.6
19670291,female,69,174.0,69.0,2.0,80.0,38.1
10580576,male,53,191.0,101.0,21.0,106.0,40.7
15854213,female,68,155.0,58.0,15.0,100.0,40.3
11138472,female,69,164.0,65.0,23.0,113.0,40.4
18276801,male,28,198.0,101.0,19.0,95.0,40.6
13823902,male,70,188.0,89.0,7.0,82.0,39.3
19222133,female,36,170.0,64.0,9.0,84.0,39.6
13231909,female,77,177.0,80.0,16.0,98.0,40.6
12726617,female,32,167.0,63.0,9.0,99.0,39.7
12538968,female,62,185.0,77.0,13.0,84.0,40.4
10941668,female,64,151.0,56.0,20.0,97.0,40.4
12628985,male,45,175.0,79.0,27.0,104.0,40.6
17691320,male,45,158.0,61.0,20.0,97.0,40.7
17822027,female,22,177.0,71.0,10.0,93.0,39.8
13777657,male,45,169.0,69.0,22.0,113.0,40.6
19423359,female,66,174.0,69.0,28.0,111.0,40.9
14701930,male,31,182.0,83.0,20.0,101.0,40.9
11513205,female,57,163.0,68.0,29.0,109.0,40.7
