"Month","Monthly Boston armed robberies Jan.1966-Oct.1975 Deutsch and Alt (1977)"
"1966-01",41
"1966-02",39
"1966-03",50
"1966-04",40
"1966-05",43
"1966-06",38
"1966-07",44
"1966-08",35
"1966-09",39
"1966-10",35
"1966-11",29
"1966-12",49
"1967-01",50
"1967-02",59
"1967-03",63
"1967-04",32
"1967-05",39
"1967-06",47
"1967-07",53
"1967-08",60
"1967-09",57
"1967-10",52
"1967-11",70
"1967-12",90
"1968-01",74
"1968-02",62
"1968-03",55
"1968-04",84
"1968-05",94
"1968-06",70
"1968-07",108
"1968-08",139
"1968-09",120
"1968-10",97
"1968-11",126
"1968-12",149
"1969-01",158
"1969-02",124
"1969-03",140
"1969-04",109
"1969-05",114
"1969-06",77
"1969-07",120
"1969-08",133
"1969-09",110
"1969-10",92
"1969-11",97
"1969-12",78
"1970-01",99
"1970-02",107
"1970-03",112
"1970-04",90
"1970-05",98
"1970-06",125
"1970-07",155
"1970-08",190
"1970-09",236
"1970-10",189
"1970-11",174
"1970-12",178
"1971-01",136
"1971-02",161
"1971-03",171
"1971-04",149
"1971-05",184
"1971-06",155
"1971-07",276
"1971-08",224
"1971-09",213
"1971-10",279
"1971-11",268
"1971-12",287
"1972-01",238
"1972-02",213
"1972-03",257
"1972-04",293
"1972-05",212
"1972-06",246
"1972-07",353
"1972-08",339
"1972-09",308
"1972-10",247
"1972-11",257
"1972-12",322
"1973-01",298
"1973-02",273
"1973-03",312
"1973-04",249
"1973-05",286
"1973-06",279
"1973-07",309
"1973-08",401
"1973-09",309
"1973-10",328
"1973-11",353
"1973-12",354
"1974-01",327
"1974-02",324
"1974-03",285
"1974-04",243
"1974-05",241
"1974-06",287
"1974-07",355
"1974-08",460
"1974-09",364
"1974-10",487
"1974-11",452
"1974-12",391
"1975-01",500
"1975-02",451
"1975-03",375
"1975-04",372
"1975-05",302
"1975-06",316
"1975-07",398
"1975-08",394
"1975-09",431
"1975-10",431
